	but672FWD_MM	but1031REV_MM	but672FWD_Melt	but1031REV_Melt	organism	definition	function
APNS01000004	3	5	63.4941085268934	65.89905604914952	Burkholderia pseudomallei MSHR1079,definition=acetyl.CoA hydrolase.transferase N.terminal domain protein	acetyl.CoA hydrolase.transferase N.terminal domain protein	unknown
AQFQ01000026	2	3	48.97166026420052	55.18291353061136	Clostridium sp. ASF356,definition=hypothetical protein	hypothetical protein	unknown
AQFQ01000028	2	4	52.45435032673856	44.928565111281216	Clostridium sp. ASF356,definition=hypothetical protein	hypothetical protein	unknown
AQFT01000095	0	0	62.00249915845444	66.25310376563891	Eubacterium plexicaudatum ASF492,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AQOB01000002	0	1	64.37388247540042	61.15513994766195	Butyricicoccus pullicaecorum 1.2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ARZA01000109	2	3	55.99816543214138	49.80394065899475	Clostridiaceae bacterium L21.TH.D2,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
ARZA01000186	2	3	48.42462341213189	55.062904666192196	Clostridiaceae bacterium L21.TH.D2,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
ARZX01000001	5	3	45.81644838300332	52.25886639486623	Cellulophaga geojensis KL.A,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ASHL01000003	1	3	55.85267959382679	54.769433598562046	Cycloclasticus sp. PY97M,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ASQA01000033	6	5	55.16544459299456	49.846949378175964	Viridibacillus arenosi FSL R5.213,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ASRV01000026	1	1	51.031880336938286	56.26100738445797	Clostridium sartagoforme AAU1,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
ASSR01000007	1	0	56.71341629241766	63.5687317759855	Lachnospiraceae bacterium A4,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASSS01000012	0	0	62.79847805008933	61.15513994766195	Eubacterium sp. 14.2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASST01000018	0	0	58.055308993768506	61.15513994766195	Lachnospiraceae bacterium 3.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASST01000032	2	2	58.92377007535629	59.33991482802702	Lachnospiraceae bacterium 3.1,definition=hypothetical protein	hypothetical protein	unknown
ASST01000032.75	0	1	63.249093250832516	54.86050108393749	Lachnospiraceae bacterium 3.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASSW01000016	2	1	65.47840532906201	58.50610450003114	Lachnospiraceae bacterium COE1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASSX01000004	0	1	60.85038083998501	66.5744527433024	Lachnospiraceae bacterium A2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASTC01000006	1	2	60.17602699766189	60.25043116709662	Oscillibacter sp. 1.3,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASTC01000006.4	0	1	64.36519756455641	60.81495569609882	Oscillibacter sp. 1.3,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASTC01000025	1	1	65.5668130056502	68.11326057361373	Oscillibacter sp. 1.3,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ATAE01000031	4	7	55.201150150373394	52.682014672282605	Bacillus marmarensis DSM 21297,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ATBP01000048	0	4	58.53676634189998	51.85213641327522	Candidatus Magnetoglobus multicellularis str. Araruama,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ATCI01000011	3	6	52.07469754177151	48.01938387928578	Capnocytophaga sp. oral taxon 336 str. F0502,definition=hypothetical protein	hypothetical protein	unknown
ATFC01000001	2	2	59.58185133350321	62.92584785011559	Treponema vincentii F0403,definition=hypothetical protein	hypothetical protein	unknown
ATFC01000011	0	1	61.60374385497681	60.87989977608191	Treponema vincentii F0403,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ATFE01000003	0	1	61.60374385497681	58.4178848641111	Treponema medium ATCC 700293,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ATFE01000013	2	2	59.58185133350321	62.92584785011559	Treponema medium ATCC 700293,definition=hypothetical protein	hypothetical protein	unknown
ATJV01000042	4	4	62.16451799048588	65.0635239444108	Thauera terpenica 58Eu,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
ATNI01000080	3	6	61.771738258100925	62.689466371979336	Thermus sp. NMX2.A1,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
ATNM01000036	1	4	55.36124571240373	53.43819669948084	Cyclobacterium qasimii M12.11B,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AUQD01000044	5	6	61.74839681970059	57.775871336800265	Salmonella enterica subsp. enterica serovar Heidelberg str. SARA33,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AUVB01000031	2	4	61.3751812747646	65.0635239444108	Pseudohaliea rubra DSM 19751,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AUYR01000099	5	5	56.982079746534	57.567069327401555	Planomicrobium glaciei CHR43,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AUYT01000001	1	5	51.04113409983319	52.79337133992453	candidate division ZIXI bacterium RBG.1,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
AUZI01000007	2	2	50.34517539402623	52.77109233332112	Fusobacterium necrophorum subsp. funduliforme B35,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AVFO01000002	3	3	55.264908311079694	57.194334531637764	Flavobacterium saliperosum S13,definition=cat2 protein	cat2 protein	unknown
AVFQ01000339	3	5	61.68765110326001	65.90068613239197	uncultured Desulfofustis sp. PB.SRB1,definition=hypothetical protein	hypothetical protein	unknown
AVGG01000002	4	3	54.295948952962135	57.7728032338249	Flavobacterium limnosediminis JC2902,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AVHW01000086	1	4	55.07879312103995	50.395197905835516	Peptoclostridium difficile CD160,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVIC01000088	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile CD178,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVIQ01000183	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile 6042,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVJD01000134	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile DA00142,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVKH01000425	1	4	56.13143266230901	50.395197905835516	Clostridium difficile DA00305,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVKO01000309	1	5	54.03423329421821	47.36512814140019	Peptoclostridium difficile F253,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVLE01000247	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile Y307,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVLR01000131	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile P8,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVLX01000042	1	4	54.19359065971952	50.395197905835516	Peptoclostridium difficile P20,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVME01000035	2	4	55.50782272169198	50.395197905835516	Peptoclostridium difficile P30,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVMI01000028	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile P36,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVMW01000040	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile P71,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AWQU01000080	2	6	54.51491194853941	53.06951672091344	Mycoplasma iowae DK.CPA,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AWSJ01000175	2	7	56.7472375373261	59.034034974214194	Aneurinibacillus aneurinilyticus ATCC 12856,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AWSS01000118	2	5	59.695331538379776	64.72188276536906	Clostridium sp. ATCC BAA.442,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AWSU01000039	0	0	64.83809286363163	61.15513994766195	[Clostridium] symbiosum ATCC 14940,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWSU01000111	3	4	53.277192446119045	64.74429793615832	[Clostridium] symbiosum ATCC 14940,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWSU01000160	1	2	61.52008624715239	60.66751045425906	[Clostridium] symbiosum ATCC 14940,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWSU01000163	7	1	67.0095308975832	60.87295010554607	[Clostridium] symbiosum ATCC 14940,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWSU01000371	2	3	54.52526579497885	61.756356778584745	[Clostridium] symbiosum ATCC 14940,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWSZ01000077	2	2	49.994229552575064	54.63162701803907	Clostridiales bacterium oral taxon 876 str. F0540,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWUR01000031	9	2	60.61001848596271	61.49406306510451	Acidaminococcus sp. BV3L6,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWUR01000038	0	0	62.07721867045166	61.155139947661894	Acidaminococcus sp. BV3L6,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWUU01000107	2	2	60.29386125168293	61.08080508383193	Porphyromonas gingivalis F0568,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AWUU01000118	0	4	58.89824826620469	57.20576462406393	Porphyromonas gingivalis F0568,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AWUX01000112	2	2	57.9697674206875	61.08080508383199	Porphyromonas sp. oral taxon 278 str. W7784,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWVB01000024	0	1	58.536766341900034	60.25111816879496	Peptostreptococcaceae bacterium oral taxon 113 str. W5053,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWVB01000064	2	2	51.073101079524974	60.60119512299758	Peptostreptococcaceae bacterium oral taxon 113 str. W5053,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWVC01000106	0	4	58.89824826620469	54.29177511106832	Porphyromonas gingivalis F0185,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AWVN01000189	2	1	59.93407699584333	65.42440750281372	Oscillibacter sp. KLE 1728,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWVN01000202	1	1	64.83809286363163	62.7116723954789	Oscillibacter sp. KLE 1728,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWVO01000193	4	2	67.44897961758039	62.341391849729746	Oscillibacter sp. KLE 1745,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWVO01000200	2	3	64.0625499391083	60.597531999593684	Oscillibacter sp. KLE 1745,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWXA01000009	0	0	65.29624631510234	57.86526795244532	Megasphaera sp. BV3C16.1,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWXA01000009.91	3	2	64.44825149325396	63.89066628268603	Megasphaera sp. BV3C16.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWXA01000025	3	1	59.26131734316999	58.80300755025644	Megasphaera sp. BV3C16.1,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWXA01000025.67	1	0	62.51844526337959	63.56873177598544	Megasphaera sp. BV3C16.1,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AWXA01000034	2	3	62.26433713801674	66.43477532480489	Megasphaera sp. BV3C16.1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AWXB01000057	0	1	56.97162784828447	56.50307952396622	Clostridiales bacterium BV3C26,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWXD01000030	0	1	58.055308993768506	57.19050497492077	Peptoniphilus sp. BV3AC2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWZM01000041	2	4	57.071099988275535	50.395197905835516	Peptoclostridium difficile P68,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AWZO01000031	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile P53,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AXBW01000015	5	4	60.418336169596046	59.11575031008533	Marinobacter sp. C1S70,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AXDE01000007	3	3	56.82081851330173	53.36868095814907	Ornithobacterium rhinotracheale H06.030791,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AXNV01000008	1	3	53.97486509251007	54.701362662704696	Fusobacterium nucleatum CTI.6,definition=hypothetical protein	hypothetical protein	unknown
AXNW01000018.19	2	3	54.48598228409446	51.61254521688727	Fusobacterium nucleatum CTI.5,definition=hypothetical protein	hypothetical protein	unknown
AXNX01000020	2	3	52.92585779471568	54.19804852741436	Fusobacterium nucleatum CTI.3,definition=hypothetical protein	hypothetical protein	unknown
AXNZ01000016	2	3	52.92585779471568	54.19804852741436	Fusobacterium nucleatum CTI.1,definition=hypothetical protein	hypothetical protein	unknown
AXUD01000009	1	1	58.28491532312216	55.46643420232181	Eubacterium brachy ATCC 33089,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AXUN02000213	3	4	53.80477171874844	54.645807480801636	Youngiibacter fragilis 232.1,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AXZL01000068	3	5	61.013684692068296	58.69951657786697	Shewanella decolorationis S12,definition=acetyl.CoA hydrolase transferase	acetyl.CoA hydrolase transferase	unknown
AY304544	4	7	54.0351299525866	53.628563933920816	Artemia franciscana,definition=acetyl coenzyme A.transferase	acetyl coenzyme A.transferase	unknown
AYEC01000094	5	6	61.74839681970059	57.775871336800265	Salmonella enterica subsp. enterica serovar Newport str. WA.14900,definition=hydrolase	hydrolase	unknown
AYJP01000006	0	1	64.36519756455641	62.69577104750522	Firmicutes bacterium ASF500,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AYUO01000070	5	6	61.74839681970059	54.87424024200601	Salmonella enterica subsp. enterica serovar Typhimurium var. 5. str. CFSAN004345,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AYXR01000046	2	3	50.869335754923895	55.22081332888348	Clostridium pasteurianum NRRL B.598,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYXY01000031	2	6	51.54953128527063	53.879613032736586	Zhouia amylolytica AD3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AYYC01000729	2	3	62.77033323055775	58.63913998688872	Tannerella sp. oral taxon BU063 isolate Cell 5,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYYD01001284	2	3	62.77033323055775	64.12115979701855	Tannerella sp. oral taxon BU063 isolate Cell 6.7.9,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYYE01000907	2	1	62.5444703553261	63.76283135648487	Tannerella sp. oral taxon BU063 isolate Cell 1.3,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYYF01001480	2	1	62.5444703553261	63.76283135648487	Tannerella sp. oral taxon BU063 isolate Cell 8.11,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYYF01001508	2	3	62.77033323055775	58.63913998688872	Tannerella sp. oral taxon BU063 isolate Cell 8.11,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AZAC01000013	3	3	63.4941085268934	60.599094015747426	Dethiosulfatarculus sandiegensis,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AZAC01000033	3	3	61.527476903965976	62.88077169800033	Dethiosulfatarculus sandiegensis,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AZAX01000026	3	3	53.606481235423814	49.223738912360375	Marinitoga sp. 1155,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AZKM01000006	2	6	58.876055089218085	57.404041177231704	Eubacterium nodatum ATCC 33099,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AZKM01000008	3	4	60.05525121172195	55.573756332172934	Eubacterium nodatum ATCC 33099,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AZKM01000027	2	3	55.72029553616085	59.62126390762745	Eubacterium nodatum ATCC 33099,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AZQP01000057	2	3	56.10861413552067	48.62566698760884	Fervidicella metallireducens AeB,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AZYU01000451	2	3	53.818808223667986	55.04289885276796	Fusobacterium sp. CM21,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
Anaerostipes.caccae.DSM.14662	0	1	63.271389499663144	63.56873177598544	Anaerostipes caccae DSM 14662,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	confirmed
Anaerostipes.caccae.strain.L1.92.	1	3	61.99653806757328	62.05787815029407	Anaerostipes.caccae.strain.L1.92.,definition=but.like	but.like	other
Anaerostipes.strain.494a	0	0	52.97391731291373	58.34428742994601	Anaerostipes.strain.494a,definition=but	but	confirmed
Anaerostipes.strain.992a	0	0	53.47503731853379	58.34428742994601	Anaerostipes.strain.992a,definition=but	but	confirmed
BAFE01000001	3	4	62.59720570111392	62.301802733071895	Mobilicoccus pelagius NBRC 104925,definition=putative 4.hydroxybutyrate CoA.transferase	putative 4.hydroxybutyrate CoA.transferase	unknown
BAGZ01000020	4	4	61.01547677877022	57.29620803227789	Austwickia chelonae NBRC 105200,definition=putative acetyl.CoA hydrolase.transferase	putative acetyl.CoA hydrolase.transferase	unknown
BAMD01000015	2	4	54.11888314428029	56.573024318275486	Saccharicrinis fermentans DSM 9555 = JCM 21142,definition=propionyl.CoA:succinate CoA transferase	propionyl.CoA:succinate CoA transferase	unknown
BAOU01000011	2	3	56.952387321513015	57.14334470302305	Porphyromonas crevioricanis JCM 15906,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
BAOV01000033	2	3	56.952387321513015	57.14334470302305	Porphyromonas crevioricanis JCM 13913,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
BARS01003362	4	4	52.79743282566892	52.46274541556721	marine sediment metagenome,definition=Marine sediment metagenome DNA, contig: S01H1.L01539, whole genome shotgun sequence	Marine sediment metagenome DNA, contig: S01H1.L01539, whole genome shotgun sequence	unknown
BAWA01000001	1	3	56.96316688398349	60.25009286200776	Bacillus sp. JCM 19045,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BAWT01000005	4	8	51.46363421716097	55.45693179704665	Streptococcus parauberis,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
BAZG01000079	1	4	66.40165545683203	65.92592540735518	Anaeromyxobacter sp. PSR.1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BAZW01000007	1	4	57.285516015242024	58.14025964921859	Geofilum rubicundum JCM 15548,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BBLG01000004	5	4	47.36523932101227	48.65582367143122	Nonlabens ulvanivorans,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BBMJ01000004	4	5	50.03523259453675	54.4588204828313	Nonlabens ulvanivorans,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BBMK01000003	4	3	48.933847711306385	51.675223448944166	Nonlabens ulvanivorans,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BBZA01000255	1	5	59.62842583248556	60.3928768327379	Ardenticatena maritima,definition=hypothetical protein	hypothetical protein	unknown
BCBV01000105	2	2	60.29386125168293	61.08080508383193	Porphyromonas gingivalis,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
BCMQ01000001	4	5	52.14168754513605	51.07732337811751	Myroides odoratimimus,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BCMQ01000003	5	4	51.61301799051637	47.99382967525986	Myroides odoratimimus,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BCND01000067	4	2	63.71516612292845	66.13246459867048	Mycobacterium pseudoshottsii L15,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
BCNG01000020	3	4	51.08121631839293	51.683298864714516	Flavobacterium psychrophilum,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BT128444	2	6	60.89879220225362	53.83154109612849	Dendroctonus ponderosae,definition=unknown	unknown	unknown
Butyricicoccus.strain.BB10..1	2	1	65.02260309504254	57.769727300805016	Butyricicoccus.strain.BB10..1,definition=but.like	but.like	other
Butyricicoccus.strain.BB10..2	0	0	64.36519756455647	63.890666282686084	Butyricicoccus.strain.BB10..2,definition=but	but	confirmed
Butyrivibrio.fibrisolvens.16.4	0	1	59.99628039822869	57.19050497492077	Butyrivibrio fibrisolvens 16.4,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	confirmed
CAIJ01000279	4	5	59.87876794257306	57.7025293914096	Microcystis aeruginosa PCC 9443,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CAIM01000245	5	5	59.814804774880145	55.88310350948882	Microcystis aeruginosa PCC 9807,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CAJB01000334	2	6	68.46760200370511	62.08478442498131	Tetrasphaera japonica T1.X7,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAME01000066	1	4	54.19359065971952	50.395197905835516	Peptoclostridium difficile E10,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAMF01000050	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile E13,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAMG01000047	2	4	57.071099988275535	50.395197905835516	Peptoclostridium difficile CD002,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAMU01000117	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile E9,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAND01000055	1	4	56.13143266230901	50.395197905835516	Peptoclostridium difficile T61,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAOS01000003	6	3	60.960417642031075	58.79005632926504	Desulfotomaculum hydrothermale Lam5 = DSM 18033,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAOS01000003.46	3	3	52.88584318665528	59.971629146873	Desulfotomaculum hydrothermale Lam5 = DSM 18033,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CARA01000002	1	2	59.15218172114362	65.73790869873079	Clostridium ultunense Esp,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
CARH01000019	2	3	54.87823592501593	51.06633381689073	Mesotoga infera,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CAWG010000046	2	4	64.50271930665372	60.527025208206396	Firmicutes bacterium CAG:102,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAWG010000083	1	2	61.676277568310695	61.075243445124386	Firmicutes bacterium CAG:102,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAWK010000098	2	2	61.01547677877022	61.075243445124386	Prevotella sp. CAG:1031,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CAWL010000094	0	1	67.11081138919411	66.26958918950822	Firmicutes bacterium CAG:103,definition=coA.transferase	coA.transferase	unknown
CAWL010000115	1	2	66.38592422828833	62.69577104750522	Firmicutes bacterium CAG:103,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAWM010000046	6	5	63.709756679182135	52.84076267132792	Bacteroides sp. CAG:927,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CAWO010000066	3	4	63.79529832888113	59.542277859916965	Alistipes sp. CAG:514,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
