	BCoATscrF_MM	BCoATscrR_MM	BCoATscrF_Melt	BCoATscrR_Melt	organism	definition	function
AQFQ01000026	18	14	55.14713217356865	55.10402198895264	Clostridium sp. ASF356,definition=hypothetical protein	hypothetical protein	unknown
AQFQ01000028	18	11	49.80715412633759	56.611460733677404	Clostridium sp. ASF356,definition=hypothetical protein	hypothetical protein	unknown
AQFT01000095	2	3	59.86520393271957	59.69836165396487	Eubacterium plexicaudatum ASF492,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AQOB01000002	5	5	67.54273565139118	65.80956989674115	Butyricicoccus pullicaecorum 1.2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ARZA01000109	18	14	54.3670488570458	48.30971535891837	Clostridiaceae bacterium L21.TH.D2,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
ARZA01000186	15	10	57.13122431619553	53.62102676669235	Clostridiaceae bacterium L21.TH.D2,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
ARZX01000001	14	14	53.170953035184255	53.44677004775133	Cellulophaga geojensis KL.A,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ASHL01000003	14	11	57.24693714557725	55.55701382500854	Cycloclasticus sp. PY97M,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ASQA01000033	16	11	56.48912061225133	56.87088377584985	Viridibacillus arenosi FSL R5.213,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ASRV01000026	16	10	53.81086317238049	50.97887658691536	Clostridium sartagoforme AAU1,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
ASSR01000007	10	9	64.37423819345173	55.84000022573065	Lachnospiraceae bacterium A4,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASSS01000012	2	2	64.72467729097195	57.74820953826912	Eubacterium sp. 14.2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASST01000018	3	1	58.9103055780904	56.89073843863201	Lachnospiraceae bacterium 3.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASST01000032	13	14	55.701410497952224	53.83526097113372	Lachnospiraceae bacterium 3.1,definition=hypothetical protein	hypothetical protein	unknown
ASST01000032.75	1	5	61.076921784029025	59.27787641729549	Lachnospiraceae bacterium 3.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASSW01000016	9	10	61.05385374026099	52.79224648249533	Lachnospiraceae bacterium COE1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASSX01000004	2	2	61.33942040867316	59.95866540814637	Lachnospiraceae bacterium A2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASTC01000006	12	12	64.27882176932673	60.281285442345734	Oscillibacter sp. 1.3,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASTC01000006.4	8	12	66.0463237001029	60.92974569746957	Oscillibacter sp. 1.3,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ASTC01000025	2	6	65.45034255166996	61.780174914785334	Oscillibacter sp. 1.3,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ATAE01000031	19	13	54.81252804526952	57.44086842596613	Bacillus marmarensis DSM 21297,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
ATBP01000048	16	7	53.991929538573686	56.31929796428358	Candidatus Magnetoglobus multicellularis str. Araruama,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
ATCI01000011	16	12	50.54233420953625	57.13429795550928	Capnocytophaga sp. oral taxon 336 str. F0502,definition=hypothetical protein	hypothetical protein	unknown
ATFC01000001	15	8	66.29110137412641	63.743238393642685	Treponema vincentii F0403,definition=hypothetical protein	hypothetical protein	unknown
ATFC01000011	5	3	61.490221918810164	59.696047928592236	Treponema vincentii F0403,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ATFE01000003	3	2	64.720197675583	59.210141691457636	Treponema medium ATCC 700293,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
ATFE01000013	15	8	66.29110137412641	63.743238393642685	Treponema medium ATCC 700293,definition=hypothetical protein	hypothetical protein	unknown
ATJV01000042	19	14	71.31200268845026	64.570122606687	Thauera terpenica 58Eu,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
ATNI01000080	15	15	73.53108034593117	61.33066746401073	Thermus sp. NMX2.A1,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
ATNM01000036	18	13	59.520730849806284	52.02317455427004	Cyclobacterium qasimii M12.11B,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AUQD01000044	16	13	52.8151088062566	55.005491513331776	Salmonella enterica subsp. enterica serovar Heidelberg str. SARA33,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AUVB01000031	18	17	71.79208229695604	67.58163749035441	Pseudohaliea rubra DSM 19751,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AUYR01000099	18	10	57.41742667926093	60.77186609244757	Planomicrobium glaciei CHR43,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AUYT01000001	15	13	62.070353370255816	54.70311949132065	candidate division ZIXI bacterium RBG.1,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
AUZI01000007	18	12	50.74349703248106	59.18761038017146	Fusobacterium necrophorum subsp. funduliforme B35,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AVFO01000002	14	15	54.993816420548	52.020945505935515	Flavobacterium saliperosum S13,definition=cat2 protein	cat2 protein	unknown
AVFQ01000339	16	14	67.44797177247892	62.25036079265391	uncultured Desulfofustis sp. PB.SRB1,definition=hypothetical protein	hypothetical protein	unknown
AVGG01000002	13	15	58.00021157744135	57.60033810244465	Flavobacterium limnosediminis JC2902,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AVHW01000086	14	13	55.23345177654619	51.14650808974977	Peptoclostridium difficile CD160,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVIC01000088	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile CD178,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVIQ01000183	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile 6042,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVJD01000134	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile DA00142,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVKH01000425	14	13	55.23345177654619	56.661806001287744	Clostridium difficile DA00305,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVKO01000309	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile F253,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVLE01000247	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile Y307,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVLR01000131	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile P8,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVLX01000042	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile P20,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVME01000035	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile P30,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVMI01000028	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile P36,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AVMW01000040	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile P71,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AWQU01000080	18	14	51.00241361240961	46.7938118429621	Mycoplasma iowae DK.CPA,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AWSJ01000175	17	9	58.885351844299294	55.01768964819894	Aneurinibacillus aneurinilyticus ATCC 12856,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AWSS01000118	15	12	65.3986592846046	60.77273268735445	Clostridium sp. ATCC BAA.442,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AWSU01000039	2	6	64.84247026442591	65.33504055149052	[Clostridium] symbiosum ATCC 14940,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWSU01000111	17	13	66.51421294845039	55.70968590518078	[Clostridium] symbiosum ATCC 14940,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWSU01000160	12	9	64.57645980324293	68.33787758870437	[Clostridium] symbiosum ATCC 14940,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWSU01000163	12	11	58.01506765758438	63.23071630357339	[Clostridium] symbiosum ATCC 14940,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWSU01000371	13	9	58.42972570502491	60.11924668453781	[Clostridium] symbiosum ATCC 14940,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWSZ01000077	18	10	59.21025072523207	57.952564561989334	Clostridiales bacterium oral taxon 876 str. F0540,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWUR01000031	12	12	60.84403325069667	61.144264317645366	Acidaminococcus sp. BV3L6,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWUR01000038	10	5	65.04621079977471	60.43789620631628	Acidaminococcus sp. BV3L6,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWUU01000107	17	13	62.24039022414286	58.69124209796337	Porphyromonas gingivalis F0568,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AWUU01000118	20	16	64.78738065669552	61.83401188872756	Porphyromonas gingivalis F0568,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AWUX01000112	20	12	62.36117261510577	61.456902668608905	Porphyromonas sp. oral taxon 278 str. W7784,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWVB01000024	4	6	58.25771791185542	56.841374932904046	Peptostreptococcaceae bacterium oral taxon 113 str. W5053,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWVB01000064	16	12	59.82852551333997	53.25941366206058	Peptostreptococcaceae bacterium oral taxon 113 str. W5053,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWVC01000106	20	16	64.78738065669552	60.013211565496306	Porphyromonas gingivalis F0185,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AWVN01000189	2	6	67.41677422342752	63.16967907097188	Oscillibacter sp. KLE 1728,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWVN01000202	17	14	66.75716108168149	64.04527569052175	Oscillibacter sp. KLE 1728,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWVO01000193	15	15	62.261229759792286	69.10759528643246	Oscillibacter sp. KLE 1745,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWVO01000200	17	12	65.68552401669155	63.494281426477244	Oscillibacter sp. KLE 1745,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWXA01000009	13	11	66.82922081274131	58.98306613278368	Megasphaera sp. BV3C16.1,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWXA01000009.91	10	12	62.98176687051432	51.2431768124527	Megasphaera sp. BV3C16.1,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWXA01000025	15	9	62.17987979385828	54.52510189777928	Megasphaera sp. BV3C16.1,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AWXA01000025.67	16	11	62.8174757694473	52.69162799112428	Megasphaera sp. BV3C16.1,definition=putative 4.hydroxybutyrate coenzyme A transferase	putative 4.hydroxybutyrate coenzyme A transferase	unknown
AWXA01000034	14	10	63.90195970131572	62.858742617310725	Megasphaera sp. BV3C16.1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AWXB01000057	10	9	60.42686359996196	50.15550739886663	Clostridiales bacterium BV3C26,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWXD01000030	10	9	61.94336406069624	52.95842285860715	Peptoniphilus sp. BV3AC2,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AWZM01000041	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile P68,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AWZO01000031	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile P53,definition=4.Hydroxybutyrate CoA.transferase	4.Hydroxybutyrate CoA.transferase	unknown
AXBW01000015	19	11	61.90654664892446	63.59408590145432	Marinobacter sp. C1S70,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AXDE01000007	16	14	49.31837991167771	57.54843526384883	Ornithobacterium rhinotracheale H06.030791,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AXNV01000008	13	10	53.530846125210815	44.8943194919587	Fusobacterium nucleatum CTI.6,definition=hypothetical protein	hypothetical protein	unknown
AXNW01000018.19	14	10	52.48020033939554	49.55289066431965	Fusobacterium nucleatum CTI.5,definition=hypothetical protein	hypothetical protein	unknown
AXNX01000020	14	10	52.48020033939554	49.55289066431965	Fusobacterium nucleatum CTI.3,definition=hypothetical protein	hypothetical protein	unknown
AXNZ01000016	14	10	52.48020033939554	46.2889192114568	Fusobacterium nucleatum CTI.1,definition=hypothetical protein	hypothetical protein	unknown
AXUD01000009	9	9	59.95299630316589	52.68056593708445	Eubacterium brachy ATCC 33089,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AXUN02000213	13	14	60.471443336021025	51.81516976687482	Youngiibacter fragilis 232.1,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AXZL01000068	19	14	69.10980278214055	60.71188421897739	Shewanella decolorationis S12,definition=acetyl.CoA hydrolase transferase	acetyl.CoA hydrolase transferase	unknown
AY304544	15	8	58.95013238289579	60.334835106222556	Artemia franciscana,definition=acetyl coenzyme A.transferase	acetyl coenzyme A.transferase	unknown
AYEC01000094	16	13	52.8151088062566	55.005491513331776	Salmonella enterica subsp. enterica serovar Newport str. WA.14900,definition=hydrolase	hydrolase	unknown
AYJP01000006	5	6	69.06881603050982	65.60642543935126	Firmicutes bacterium ASF500,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	unknown
AYUO01000070	16	13	52.8151088062566	55.005491513331776	Salmonella enterica subsp. enterica serovar Typhimurium var. 5. str. CFSAN004345,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AYXR01000046	16	10	59.10628210517814	51.717018789685085	Clostridium pasteurianum NRRL B.598,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYXY01000031	14	14	54.3693139527669	51.923151360907696	Zhouia amylolytica AD3,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AYYC01000729	18	13	68.62090683633858	63.983331888469024	Tannerella sp. oral taxon BU063 isolate Cell 5,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYYD01001284	18	12	68.62090683633858	62.14791474050412	Tannerella sp. oral taxon BU063 isolate Cell 6.7.9,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYYE01000907	19	11	69.74218387974446	60.90891785883082	Tannerella sp. oral taxon BU063 isolate Cell 1.3,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYYF01001480	19	11	68.0869842167449	60.90891785883082	Tannerella sp. oral taxon BU063 isolate Cell 8.11,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AYYF01001508	18	13	68.62090683633858	62.551492035806746	Tannerella sp. oral taxon BU063 isolate Cell 8.11,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AZAC01000013	17	10	65.09800652187698	62.47496540355991	Dethiosulfatarculus sandiegensis,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
AZAC01000033	19	16	66.66842186637632	59.304149664313286	Dethiosulfatarculus sandiegensis,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
AZAX01000026	15	11	51.017645796903366	54.067830323929	Marinitoga sp. 1155,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AZKM01000006	16	10	57.277042614183586	54.49312732709649	Eubacterium nodatum ATCC 33099,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AZKM01000008	15	8	63.04689188188604	57.56497301785157	Eubacterium nodatum ATCC 33099,definition=putative butyryl.CoA:acetate CoA.transferase	putative butyryl.CoA:acetate CoA.transferase	unknown
AZKM01000027	14	14	53.79268597499566	49.605007554506244	Eubacterium nodatum ATCC 33099,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
AZQP01000057	12	10	50.800435861347864	54.192522987411394	Fervidicella metallireducens AeB,definition=acetyl.CoA hydrolase	acetyl.CoA hydrolase	unknown
AZYU01000451	15	10	50.19336793358741	46.74119117094256	Fusobacterium sp. CM21,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
Anaerostipes.caccae.DSM.14662	2	1	63.11191835819466	58.2167883936566	Anaerostipes caccae DSM 14662,definition=butyryl.CoA:acetate CoA.transferase	butyryl.CoA:acetate CoA.transferase	confirmed
Anaerostipes.caccae.strain.L1.92.	13	9	57.287241692859595	60.3348351062225	Anaerostipes.caccae.strain.L1.92.,definition=but.like	but.like	other
Anaerostipes.strain.494a	1	2	58.788944322310726	56.87497482334339	Anaerostipes.strain.494a,definition=but	but	confirmed
Anaerostipes.strain.992a	1	2	59.86643629781395	53.926254953487955	Anaerostipes.strain.992a,definition=but	but	confirmed
BAFE01000001	17	12	69.55829984292757	65.2639675116543	Mobilicoccus pelagius NBRC 104925,definition=putative 4.hydroxybutyrate CoA.transferase	putative 4.hydroxybutyrate CoA.transferase	unknown
BAGZ01000020	16	13	66.9449694711854	66.33475677015002	Austwickia chelonae NBRC 105200,definition=putative acetyl.CoA hydrolase.transferase	putative acetyl.CoA hydrolase.transferase	unknown
BAMD01000015	19	12	56.40345713658547	55.0318983270563	Saccharicrinis fermentans DSM 9555 = JCM 21142,definition=propionyl.CoA:succinate CoA transferase	propionyl.CoA:succinate CoA transferase	unknown
BAOU01000011	17	11	61.730631356778815	57.703717327655966	Porphyromonas crevioricanis JCM 15906,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
BAOV01000033	17	11	61.730631356778815	57.703717327655966	Porphyromonas crevioricanis JCM 13913,definition=4.hydroxybutyrate:acetyl.CoA CoA transferase	4.hydroxybutyrate:acetyl.CoA CoA transferase	unknown
BARS01003362	14	11	61.23752062605007	59.626113306991954	marine sediment metagenome,definition=Marine sediment metagenome DNA, contig: S01H1.L01539, whole genome shotgun sequence	Marine sediment metagenome DNA, contig: S01H1.L01539, whole genome shotgun sequence	unknown
BAWA01000001	16	10	58.63932768049682	57.03755448546019	Bacillus sp. JCM 19045,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BAWT01000005	15	13	54.34791797844787	50.81108085197542	Streptococcus parauberis,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
BAZG01000079	14	11	73.47203719112247	66.05214376142817	Anaeromyxobacter sp. PSR.1,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BAZW01000007	17	16	56.84875553978253	56.26867722707772	Geofilum rubicundum JCM 15548,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BBLG01000004	13	13	58.491913622076936	55.08264977764952	Nonlabens ulvanivorans,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BBMJ01000004	16	15	55.66697594909522	55.03383574533797	Nonlabens ulvanivorans,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BBMK01000003	16	13	55.66697594909522	55.111566526051035	Nonlabens ulvanivorans,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BBZA01000255	15	12	68.05208084431104	65.64873698942876	Ardenticatena maritima,definition=hypothetical protein	hypothetical protein	unknown
BCBV01000105	17	13	62.24039022414286	58.69124209796337	Porphyromonas gingivalis,definition=4.hydroxybutyrate CoA.transferase	4.hydroxybutyrate CoA.transferase	unknown
BCMQ01000001	14	9	54.801985150680025	53.9713478397116	Myroides odoratimimus,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BCMQ01000003	14	12	57.57375016615907	50.06550608274472	Myroides odoratimimus,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BCND01000067	15	12	69.14361985282551	72.7289373889596	Mycobacterium pseudoshottsii L15,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
BCNG01000020	14	14	53.00689929902762	49.71280661305519	Flavobacterium psychrophilum,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
BT128444	11	11	59.95388331078681	60.44121435150305	Dendroctonus ponderosae,definition=unknown	unknown	unknown
Butyricicoccus.strain.BB10..1	9	9	59.31740006557942	62.19100195364649	Butyricicoccus.strain.BB10..1,definition=but.like	but.like	other
Butyricicoccus.strain.BB10..2	4	7	62.12366516074496	68.01807168663544	Butyricicoccus.strain.BB10..2,definition=but	but	confirmed
Butyrivibrio.fibrisolvens.16.4	2	2	61.28469114290243	57.01484106763502	Butyrivibrio fibrisolvens 16.4,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	confirmed
CAIJ01000279	15	14	64.87503819659395	61.93750690469972	Microcystis aeruginosa PCC 9443,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CAIM01000245	15	13	64.87503819659395	60.973551639590085	Microcystis aeruginosa PCC 9807,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CAJB01000334	18	8	70.85739936412051	69.77658140424836	Tetrasphaera japonica T1.X7,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAME01000066	14	13	55.23345177654619	54.826577155933876	Peptoclostridium difficile E10,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAMF01000050	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile E13,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAMG01000047	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile CD002,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAMU01000117	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile E9,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAND01000055	14	13	55.23345177654619	56.661806001287744	Peptoclostridium difficile T61,definition=4.hydroxybutyrate CoA transferase	4.hydroxybutyrate CoA transferase	unknown
CAOS01000003	17	11	67.6744499382911	58.72518278662454	Desulfotomaculum hydrothermale Lam5 = DSM 18033,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAOS01000003.46	12	11	58.04208016828164	58.98423348220274	Desulfotomaculum hydrothermale Lam5 = DSM 18033,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CARA01000002	5	7	65.0959070896181	59.146329252569785	Clostridium ultunense Esp,definition=Acetyl.CoA hydrolase	Acetyl.CoA hydrolase	unknown
CARH01000019	18	14	60.94082505193296	56.05848617225615	Mesotoga infera,definition=Acetyl.CoA hydrolase.transferase	Acetyl.CoA hydrolase.transferase	unknown
CAWG010000046	18	14	54.79903761544227	62.11370437290287	Firmicutes bacterium CAG:102,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAWG010000083	16	12	61.593823942408505	55.664848478333965	Firmicutes bacterium CAG:102,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAWK010000098	14	15	65.20990157652636	68.28691921555765	Prevotella sp. CAG:1031,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CAWL010000094	13	9	65.70990156799877	65.45628256719363	Firmicutes bacterium CAG:103,definition=coA.transferase	coA.transferase	unknown
CAWL010000115	13	13	68.67553516473788	64.06566285651428	Firmicutes bacterium CAG:103,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAWM010000046	17	12	52.113570988471224	57.45853093607616	Bacteroides sp. CAG:927,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CAWO010000066	16	13	60.943764346471085	65.61066062832265	Alistipes sp. CAG:514,definition=acetyl.CoA hydrolase.transferase	acetyl.CoA hydrolase.transferase	unknown
CAWW010000007	15	12	66.1127286070627	62.25732026634512	Firmicutes bacterium CAG:555,definition=4.hydroxybutyrate coenzyme A transferase	4.hydroxybutyrate coenzyme A transferase	unknown
CAWW010000034	10	12	63.80757415456958	54.60653712602493	Firmicutes bacterium CAG:555,definition=coA.transferase	coA.transferase	unknown
